#Incident	#Data	#Location	#Target	#Fatalities	#Injuries	#Perps	#AttackType
Columbine_High_School_massacre	April 20, 1999	Columbine, Colorado|Columbine, Colorado, United States	Students and faculty at Columbine High School.	15 (including the 2 perpetrators)	24	Eric Harris and Dylan Klebold	School shooting, mass murder, massacre, murder-suicide, suicide attack, shootout, improvised explosive device|attempted bombing
Myyrmanni_bombing	October 11, 2002	Vantaa, Finland (near Helsinki)	Shopping mall	7 (including the perpetrator)	166	Petri Erkki Tapio Gerdt	bombing
King_David_Hotel_bombing	July 22, 1946	Jerusalem, British Mandate for Palestine|Mandate Palestine	King David Hotel	91	46	Irgun	Bomb
2002_Zamboanga_City_bombings	null	Four separate locations in Zamboanga City	Two department stores, Fort Pillar shrine and a karaoke bar/restaurant opposite a military base.	at least 11	at least 180	unknown (Moro Islamic Liberation Front|MILF, Abu Sayyaf, and Jemaah Islamiyah suspected)	
Omagh_bombing	15 August 1998	Omagh, Northern Ireland	Courthouse	29	About 220 initially reported,	Real Irish Republican Army|Real IRA (RIRA)	Car bomb
Moscow_theater_hostage_crisis	23&acirc;&euro;&ldquo;26 October 2002	Moscow, Russia	Dubrovka theater	At least 170 in total (including some 129 hostages)	Over 700	Special Purpose Islamic Regiment|SPIR, Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs|Riyadus-Salikhin, Islamic International Brigade|IIPB	hostage taking, threats of execution and subsequent response by Russian government
Passover_massacre	March 27, 2002	Netanya		30 (+ 1 suicide bomber)		Hamas claimed responsibility	suicide bomber
1992_Israeli_Embassy_attack_in_Buenos_Aires	March 17, 1992	Buenos Aires, Argentina	Israeli embassy	29	242	null	suicide bombing
1993_Bombay_bombings	12 March 1993	Bombay, Maharashtra, India	Hotels, office buildings, banks, etc.	257	713	Underworld criminal groups affliated with Islamic groups with training in Pakistan (D-Company)	13 car bombs (RDX) containing Fragmentation (weaponry)|shrapnel.
Russian_apartment_bombings	September 4&acirc;&euro;&ldquo;16, 1999	Russia	Low-income apartment buildings	293	More than 1,000		Time bombings
Shmuel_HaNavi_bus_bombing	August 19, 2003	Jerusalem		23	130+	Hamas	suicide bombing
21_April_2004_Basra_bombings	April 21, 2004	Samarra, Iraq	Police stations	74	100+		car bombs
Warrington_bomb_attacks	26 February 1993	Warrington, Cheshire, England	1st attack: a district pressure gas storage facility	2	56	null	Bombing
Alma	null	null	null	null	null	null	null
2008_Bin_Salman_Mosque_bombing	May 2, 2008	Sa'dah Governorate, Yemen	Security forces	15	55	Unknown	Bombing
Deer_Creek_Middle_School	April 7, 1982	Littleton, Colorado|Littleton, Colorado, United States		1	0	Jason Rocha	School shooting
2004_Australian_embassy_bombing_in_Jakarta	9 September 2004	{{Coord|6|13|5.4|S|106|49|52|E|type:landmark|displayinline,title|nameJakarta Embassy Bombing}}	Australian embassy	9		Jemaah Islamiyah	car bombing
1996_Manchester_bombing	15 June 1996	Corporation Street, Manchester|Corporation Street,	Manchester city centre	0	212	Provisional IRA	Car bomb|Vehicle bomb
Sbarro_restaurant_suicide_bombing	August 9, 2001	Jerusalem	Sbarro pizza restaurant	15	130	Hamas	suicide bomber
Guildford_pub_bombings	5 October 1974	Horse and Groom Public House,	null	5	65	null	Time bombs
11_April_2007_Algiers_bombings	April 11, 2007	Algiers, Algeria		33		Al-Qaeda	Suicide bombings
Bath_School_disaster	May 18, 1927	Bath Township, Michigan|Bath Township, Clinton County, Michigan|Clinton County, Michigan, USA	Bath Consolidated School	45 (38 children, 2 teachers, 4 other adults and the perpetrator)	58	Andrew Kehoe|Andrew P. Kehoe	explosives, suicide bombing, Shooting, fire
7_July_2005_London_bombings	Thursday, 7 July 2005	Aboard London Underground trains and a bus in central London	General public	56 (including 4 suicide bombers)	Approximately 700	Hasib Hussain	Mass murder; suicide attack; terrorism
Bojay¨¢_massacre	null	null	null	null	null	null	null
1996_Docklands_bombing	9 February 1996	South Quay DLR station|South Quay station, Isle of Dogs, London	Canary Wharf financial district	2	39	null	Truck bomb
2003_Jordanian_embassy_bombing_in_Baghdad	August 7, 2003	Baghdad, Iraq	Jordanian embassy	17	40	Jama'at al-Tawhid wal-Jihad}}	truck bomb
2003_Karbala_bombings	December 27, 2003	Karbala, Iraq	Coalition military barracks	5 Bulgarian soldiers	200 injured (including 36 coalition soldiers)	Tawhid al-Jihad	suicide bombings
2004_Irbil_bombings	February 16, 2004	Irbil, Iraq	Headquarters of PUK and KDP	117	133	Al-Qaeda in Iraq}}	Suicide bombings
2006_Bangkok_bombings	31 December 2006&acirc;&euro;&ldquo;1 January 2007	Bangkok, Thailand	9 locations ( http://newsimg.bbc.co.uk/media/images/42401000/gif/_42401971_thailand_bangkok.gif  map) :	3	~ 38		Multiple bombings
2006_Hat_Yai_bombings	September 16, 2006	Hat Yai, Thailand	Various	4	82	possibly Pattani Province|Pattani insurgents	multiple bombings
2007_Ankara_bombing	May 22, 2007	Ankara, Turkey	Shopping Centre	9	121	G&Atilde;&frac14;ven Akku&Aring;&Yuml;	Bombing|Suicide Bombing
2007_Karachi_bombing	October 18, 2007	Karachi, Pakistan	Benazir Bhutto and her supporters	139+	450+	Unknown	Suicide attack, bomb
2007_Karbala_bombings	April 14, 2007	Karbala, Iraq	Shiite pilgrims	42		null	suicide bombing
2007_Kirkuk_bombings	16 July 2007	Kirkuk, Iraq	Patriotic Union of Kurdistan|PUK office and a crowded market	86	136		Suicide bombing and car bombs
2007_Zahedan_bombings	14 February 2007	Zahedan, Iran		18		Jundallah (responsibility claimed)	Car bombing
25_August_2003_Mumbai_bombings	25 August 2003	Mumbai, India		52}}	null	null	Car Bombing
26_July_2007_Baghdad_market_bombing	26 July 2007	Baghdad, Iraq	Karrada	92	127	Unknown: legal proceedings have not yet taken place.	Car bomb, rockets
Ahvaz_bombings	sporadically from 12 June 2005 to 3 March 2006	Ahvaz, Iran	various government of Iran|government and public buildings	at least 28	at least 225	responsibility claimed by the Ahvazi Revolutionary Martyrs' Brigades; Iran alleges United Kingdom|UK and United States|US involvement	bombings
Black_Sea_hostage_crisis	January 16&acirc;&euro;&ldquo;19, 1996	Trabzon, Turkey and the Black Sea	null	None	13 (including sicknessses)		Hostage crisis
8_December_2009_Baghdad_bombings	8 December 2009	Baghdad, Iraq	Multiple	127+	440+	null	Car bombs
Ramat_Gan_bus_20_bombing	July 24, 1995	Jabotinsky Street, Ramat Gan, Israel		6	30	Hamas, unnamed operative	Suicide attack
La_Gabarra_Massacre	June 16, 1996	La Gabarra, Tib&Atilde;&ordm;|Municipality of Tib&Atilde;&ordm;, Norte de Santander Department|Norte de Santander	Civilians in a crossfire	43		FARC|FARC guerrillas	shooting, mass murder, Wiktionary:massacre|massacre
