combined-0,199001300001-gtd
combined-1,199101000001-gtd
combined-2,199101000002-gtd
combined-3,199101000003-gtd
combined-4,199101010001-gtd
combined-5,199101010002-gtd
combined-6,199101010003-gtd
combined-7,199101010004-gtd
combined-8,199101010005-gtd
combined-9,199101010006-gtd
combined-10,199101010007-gtd
combined-11,199101010008-gtd
combined-12,199101010009-gtd
combined-13,199101010010-gtd
combined-14,199101020001-gtd
combined-15,199101020002-gtd
combined-16,199101020003-gtd
combined-17,199101020004-gtd
combined-18,199101020005-gtd
combined-19,199101020006-gtd
combined-20,199101020007-gtd
combined-21,199101020008-gtd
combined-22,199101020009-gtd
combined-23,199101020010-gtd
combined-24,199101020011-gtd
combined-25,199101020012-gtd
combined-26,199101020013-gtd
combined-27,199101020014-gtd
combined-28,199101030001-gtd
combined-29,199101030002-gtd
combined-30,199101030003-gtd
combined-31,199101030004-gtd
combined-32,199101030005-gtd
combined-33,199101030006-gtd
combined-34,199101030007-gtd
combined-35,199101030008-gtd
combined-36,199101030009-gtd
combined-37,199101030010-gtd
combined-38,199101030011-gtd
combined-39,199101030012-gtd
combined-40,199101030013-gtd
combined-41,199101030014-gtd
combined-42,199101030015-gtd
combined-43,199101030016-gtd
combined-44,199101030017-gtd
combined-45,199101030018-gtd
combined-46,199101030019-gtd
combined-47,199101030020-gtd
combined-48,199101030021-gtd
combined-49,199101030022-gtd
combined-50,199101030023-gtd
combined-51,199101030024-gtd
combined-52,199101030025-gtd
combined-53,199101030026-gtd
combined-54,199101030027-gtd
combined-55,199101030028-gtd
combined-56,199101030029-gtd
combined-57,199101030030-gtd
combined-58,199101030031-gtd
combined-59,199101030032-gtd
combined-60,199101030033-gtd
combined-61,199101030034-gtd
combined-62,199101030035-gtd
combined-63,199101030036-gtd
combined-64,199101030037-gtd
combined-65,199101030038-gtd
combined-66,199101030039-gtd
combined-67,199101030040-gtd
combined-68,199101030041-gtd
combined-69,199101030042-gtd
combined-70,199101030043-gtd
combined-71,199101030044-gtd
combined-72,199101030045-gtd
combined-73,199101040001-gtd
combined-74,199101040002-gtd
combined-75,199101040003-gtd
combined-76,199101040004-gtd
combined-77,199101040005-gtd
combined-78,199101040006-gtd
combined-79,199101040007-gtd
combined-80,199101040008-gtd
combined-81,199101040009-gtd
combined-82,199101040010-gtd
combined-83,199101040011-gtd
combined-84,199101040012-gtd
combined-85,199101040013-gtd
combined-86,199101040014-gtd
combined-87,199101050001-gtd
combined-88,199101050002-gtd
combined-89,199101050003-gtd
combined-90,199101050004-gtd
combined-91,199101050005-gtd
combined-92,199101060001-gtd
combined-93,199101060002-gtd
combined-94,199101060003-gtd
combined-95,199101060004-gtd
combined-96,199101060005-gtd
combined-97,199101060006-gtd
combined-98,199101070001-gtd
combined-99,199101070002-gtd
combined-100,199101070003-gtd
combined-101,199101070004-gtd
combined-102,199101070005-gtd
combined-103,199101070006-gtd
combined-104,199101070007-gtd
combined-105,199101080001-gtd
combined-106,199101080002-gtd
combined-107,199101080003-gtd
combined-108,199101080004-gtd
combined-109,199101080006-gtd
combined-110,199101080007-gtd
combined-111,199101080008-gtd
combined-112,199101090001-gtd
combined-113,199101090002-gtd
combined-114,199101090003-gtd
combined-115,199101090004-gtd
combined-116,199101090005-gtd
combined-117,199101090006-gtd
combined-118,199101090007-gtd
combined-119,199101100001-gtd
combined-120,199101100002-gtd
combined-121,199101100003-gtd
combined-122,199101100004-gtd
combined-123,199101100005-gtd
combined-124,199101100006-gtd
combined-125,199101100007-gtd
combined-126,199101100008-gtd
combined-127,199101100009-gtd
combined-128,199101100010-gtd
combined-129,199101100011-gtd
combined-130,199101100012-gtd
combined-131,199101100013-gtd
combined-132,199101100014-gtd
combined-133,199101100015-gtd
combined-134,199101100016-gtd
combined-135,199101100017-gtd
combined-136,199101100018-gtd
combined-137,199101100019-gtd
combined-138,199101100020-gtd
combined-139,199101100021-gtd
combined-140,199101100022-gtd
combined-141,199101100023-gtd
combined-142,199101100024-gtd
combined-143,199101100025-gtd
combined-144,199101100026-gtd
combined-145,199101110001-gtd
combined-146,199101110002-gtd
combined-147,199101110003-gtd
combined-148,199101110004-gtd
combined-149,199101110005-gtd
combined-150,199101110006-gtd
combined-151,199101110007-gtd
combined-152,199101110008-gtd
combined-153,199101110009-gtd
combined-154,199101110010-gtd
combined-155,199101110011-gtd
combined-156,199101110012-gtd
combined-157,199101110013-gtd
combined-158,199101120001-gtd
combined-159,199101120002-gtd
combined-160,199101120003-gtd
combined-161,199101120004-gtd
combined-162,199101120005-gtd
combined-163,199101120006-gtd
combined-164,199101120008-gtd
combined-165,199101130001-gtd
combined-166,199101130002-gtd
combined-167,199101130003-gtd
combined-168,199101130004-gtd
combined-169,199101130005-gtd
combined-170,199101130006-gtd
combined-171,199101130007-gtd
combined-172,199101140001-gtd
combined-173,199101140002-gtd
combined-174,199101140003-gtd
combined-175,199101140004-gtd
combined-176,199101140005-gtd
combined-177,199101140006-gtd
combined-178,199101140007-gtd
combined-179,199101150001-gtd
combined-180,199101150002-gtd
combined-181,199101150003-gtd
combined-182,199101150004-gtd
combined-183,199101150005-gtd
combined-184,199101150007-gtd
combined-185,199101150008-gtd
combined-186,199101150009-gtd
combined-187,199101150010-gtd
combined-188,199101160001-gtd
combined-189,199101160002-gtd
combined-190,199101160003-gtd
combined-191,199101160004-gtd
combined-192,199101160005-gtd
combined-193,199101160006-gtd
combined-194,199101160007-gtd
combined-195,199101160008-gtd
combined-196,199101160009-gtd
combined-197,199101160010-gtd
combined-198,199101160011-gtd
combined-199,199101160012-gtd
combined-200,199101170001-gtd
combined-201,199101170002-gtd
combined-202,199101170003-gtd
combined-203,199101170004-gtd
combined-204,199101170005-gtd
combined-205,199101170006-gtd
combined-206,199101170007-gtd
combined-207,199101180001-gtd
combined-208,199101180002-gtd
combined-209,199101180003-gtd
combined-210,199101180004-gtd
combined-211,199101180005-gtd
combined-212,199101180006-gtd
combined-213,199101180007-gtd
combined-214,199101180008-gtd
combined-215,199101180009-gtd
combined-216,199101180010-gtd
combined-217,199101180011-gtd
combined-218,199101180012-gtd
combined-219,199101180013-gtd
combined-220,199101180014-gtd
combined-221,199101180015-gtd
combined-222,199101180016-gtd
combined-223,199101180017-gtd
combined-224,199101180018-gtd
combined-225,199101180019-gtd
combined-226,199101180020-gtd
combined-227,199101190001-gtd
combined-228,199101190002-gtd
combined-229,199101190003-gtd
combined-230,199101190004-gtd
combined-231,199101190006-gtd
combined-232,199101190007-gtd
combined-233,199101190008-gtd
combined-234,199101200001-gtd
combined-235,199101200002-gtd
combined-236,199101200003-gtd
combined-237,199101200004-gtd
combined-238,199101200005-gtd
combined-239,199101200006-gtd
combined-240,199101200007-gtd
combined-241,199101200008-gtd
combined-242,199101200009-gtd
combined-243,199101210001-gtd
combined-244,199101210002-gtd
combined-245,199101210003-gtd
combined-246,199101210004-gtd
combined-247,199101210005-gtd
combined-248,199101210006-gtd
combined-249,199101210007-gtd
combined-250,199101210008-gtd
combined-251,199101210009-gtd
combined-252,199101210010-gtd
combined-253,199101210011-gtd
combined-254,199101210012-gtd
combined-255,199101210013-gtd
combined-256,199101210014-gtd
combined-257,199101210015-gtd
combined-258,199101210016-gtd
combined-259,199101210017-gtd
combined-260,199101210018-gtd
combined-261,199101210019-gtd
combined-262,199101210020-gtd
combined-263,199101220001-gtd
combined-264,199101220002-gtd
combined-265,199101220003-gtd
combined-266,199101220004-gtd
combined-267,199101220005-gtd
combined-268,199101220006-gtd
combined-269,199101220007-gtd
combined-270,199101220008-gtd
combined-271,199101220009-gtd
combined-272,199101220011-gtd
combined-273,199101220012-gtd
combined-274,199101220013-gtd
combined-275,199101220014-gtd
combined-276,199101220015-gtd
combined-277,199101220016-gtd
combined-278,199101220017-gtd
combined-279,199101220018-gtd
combined-280,199101220019-gtd
combined-281,199101220020-gtd
combined-282,199101220021-gtd
combined-283,199101220022-gtd
combined-284,199101220023-gtd
combined-285,199101230001-gtd
combined-286,199101230002-gtd
combined-287,199101230003-gtd
combined-288,199101230004-gtd
combined-289,199101230005-gtd
combined-290,199101230006-gtd
combined-291,199101230007-gtd
combined-292,199101230008-gtd
combined-293,199101230009-gtd
combined-294,199101230010-gtd
combined-295,199101230011-gtd
combined-296,199101230012-gtd
combined-297,199101230013-gtd
combined-298,199101240001-gtd
combined-299,199101240002-gtd
combined-300,199101240003-gtd
combined-301,199101240004-gtd
combined-302,199101240005-gtd
combined-303,199101240006-gtd
combined-304,199101240007-gtd
combined-305,199101250001-gtd
combined-306,199101250002-gtd
combined-307,199101250003-gtd
combined-308,199101250004-gtd
combined-309,199101250005-gtd
combined-310,199101250006-gtd
combined-311,199101250007-gtd
combined-312,199101250008-gtd
combined-313,199101250009-gtd
combined-314,199101250010-gtd
combined-315,199101250011-gtd
combined-316,199101250012-gtd
combined-317,199101250013-gtd
combined-318,199101250014-gtd
combined-319,199101250015-gtd
combined-320,199101260001-gtd
combined-321,199101260002-gtd
combined-322,199101260003-gtd
combined-323,199101260004-gtd
combined-324,199101260005-gtd
combined-325,199101260006-gtd
combined-326,199101260007-gtd
combined-327,199101260008-gtd
combined-328,199101260009-gtd
combined-329,199101260010-gtd
combined-330,199101260011-gtd
combined-331,199101260012-gtd
combined-332,199101270001-gtd
combined-333,199101270002-gtd
combined-334,199101270003-gtd
combined-335,199101270004-gtd
combined-336,199101270005-gtd
combined-337,199101270006-gtd
combined-338,199101270007-gtd
combined-339,199101270008-gtd
combined-340,199101270009-gtd
